Nome da Empresa,URL,Plataforma,Status da URL,Data de Entrada,Segmento da Empresa
Libbs,https://trabalheconosco.vagas.com.br/libbs,Vagas,1,2026-02-19,Estratégico
Librelato,https://trabalheconosco.vagas.com.br/librelato,Vagas,1,2026-02-19,Estratégico
Light,https://trabalheconosco.vagas.com.br/light,Vagas,1,2026-02-19,Estratégico
Liv Up,https://trabalheconosco.vagas.com.br/livup,Vagas,1,2026-02-19,Estratégico
Local Frio,https://trabalheconosco.vagas.com.br/localfrio,Vagas,1,2026-02-19,Estratégico
Log Commercial Properties,https://trabalheconosco.vagas.com.br/logcommercialproperties,Vagas,1,2026-02-19,Estratégico
Login Logística,https://trabalheconosco.vagas.com.br/loginlogstica,Vagas,1,2026-02-19,Estratégico
Lojas Cem,https://trabalheconosco.vagas.com.br/lojascem,Vagas,1,2026-02-19,Estratégico
Lojas Quero-Quero,https://trabalheconosco.vagas.com.br/lojasqueroquero,Vagas,1,2026-02-19,Estratégico
MRS Logística,https://trabalheconosco.vagas.com.br/mrslogstica,Vagas,1,2026-02-19,Estratégico
Magazine Luiza,https://trabalheconosco.vagas.com.br/magazineluiza,Vagas,1,2026-02-19,Estratégico
Magnetis,https://trabalheconosco.vagas.com.br/magnetis,Vagas,1,2026-02-19,Estratégico
Mais Mu,https://trabalheconosco.vagas.com.br/maismu,Vagas,1,2026-02-19,Estratégico
Mapfre Brasil,https://trabalheconosco.vagas.com.br/mapfrebrasil,Vagas,1,2026-02-19,Estratégico
Marcopolo,https://trabalheconosco.vagas.com.br/marcopolo,Vagas,1,2026-02-19,Estratégico
Marfrig,https://trabalheconosco.vagas.com.br/marfrig,Vagas,1,2026-02-19,Estratégico
Mart Minas,https://trabalheconosco.vagas.com.br/martminas,Vagas,1,2026-02-19,Estratégico
Mater Dei,https://trabalheconosco.vagas.com.br/materdei,Vagas,1,2026-02-19,Estratégico
Melhor Envio,https://melhorenvio.gupy.io,Gupy,1,2026-02-19,Estratégico
Melhoramentos,https://trabalheconosco.vagas.com.br/melhoramentos,Vagas,1,2026-02-19,Estratégico
Melnick,https://trabalheconosco.vagas.com.br/melnick,Vagas,1,2026-02-19,Estratégico
Mercantil do Brasil,https://trabalheconosco.vagas.com.br/mercantildobrasil,Vagas,1,2026-02-19,Estratégico
Metha (antiga OAS),https://trabalheconosco.vagas.com.br/metha,Vagas,1,2026-02-19,Estratégico
Mills,https://mills.gupy.io,Gupy,1,2026-02-19,Estratégico
Mimic,https://trabalheconosco.vagas.com.br/mimic,Vagas,1,2026-02-19,Estratégico
Mobly,https://trabalheconosco.vagas.com.br/mobly,Vagas,1,2026-02-19,Estratégico
Mombora,https://trabalheconosco.vagas.com.br/mombora,Vagas,1,2026-02-19,Estratégico
Mottu,https://trabalheconosco.vagas.com.br/mottu,Vagas,1,2026-02-19,Estratégico
Moura Dubeux,https://trabalheconosco.vagas.com.br/mouradubeux,Vagas,1,2026-02-19,Estratégico
Multiplan,https://trabalheconosco.vagas.com.br/multiplan,Vagas,1,2026-02-19,Estratégico
Méliuz,https://trabalheconosco.vagas.com.br/mliuz,Vagas,1,2026-02-19,Estratégico
Neogrid,https://trabalheconosco.vagas.com.br/neogrid,Vagas,1,2026-02-19,Estratégico
NovaDAX,https://trabalheconosco.vagas.com.br/novadax,Vagas,1,2026-02-19,Estratégico
Novonor (Odebrecht),https://trabalheconosco.vagas.com.br/novonor,Vagas,1,2026-02-19,Estratégico
Nubank (Nu Holdings),https://trabalheconosco.vagas.com.br/nubank,Vagas,1,2026-02-19,Estratégico
Nude.,https://trabalheconosco.vagas.com.br/nude,Vagas,1,2026-02-19,Estratégico
O Estado de S. Paulo,https://trabalheconosco.vagas.com.br/oestadodespaulo,Vagas,1,2026-02-19,Estratégico
OEC,https://trabalheconosco.vagas.com.br/oec,Vagas,1,2026-02-19,Estratégico
Oakberry,https://trabalheconosco.vagas.com.br/oakberry,Vagas,1,2026-02-19,Estratégico
Olga Ri,https://trabalheconosco.vagas.com.br/olgari,Vagas,1,2026-02-19,Estratégico
Oncoclínicas,https://trabalheconosco.vagas.com.br/oncoclnicas,Vagas,1,2026-02-19,Estratégico
Orizon,https://orizon.gupy.io,Gupy,1,2026-02-19,Estratégico
PagBank (PagSeguro),https://trabalheconosco.vagas.com.br/pagbank,Vagas,1,2026-02-19,Estratégico
Pague Menos,https://trabalheconosco.vagas.com.br/paguemenos,Vagas,1,2026-02-19,Estratégico
Panvel (Dimed),https://panvel.gupy.io,Gupy,1,2026-02-19,Estratégico
Piracanjuba (Laticínios Bela Vista),https://piracanjuba.gupy.io,Gupy,1,2026-02-19,Estratégico
Pismo,https://trabalheconosco.vagas.com.br/pismo,Vagas,1,2026-02-19,Estratégico
Plano & Plano,https://trabalheconosco.vagas.com.br/planoplano,Vagas,1,2026-02-19,Estratégico
PlayDelivery,https://trabalheconosco.vagas.com.br/playdelivery,Vagas,1,2026-02-19,Estratégico
Polishop,https://trabalheconosco.vagas.com.br/polishop,Vagas,1,2026-02-19,Estratégico
Positive Brands,https://trabalheconosco.vagas.com.br/positivebrands,Vagas,1,2026-02-19,Estratégico
Pravaler,https://trabalheconosco.vagas.com.br/pravaler,Vagas,1,2026-02-19,Estratégico
Prio (PetroRio),https://prio.gupy.io,Gupy,1,2026-02-19,Estratégico
Prosegur Brasil,https://trabalheconosco.vagas.com.br/prosegurbrasil,Vagas,1,2026-02-19,Estratégico
Protege,https://trabalheconosco.vagas.com.br/protege,Vagas,1,2026-02-19,Estratégico
Qualicorp,https://trabalheconosco.vagas.com.br/qualicorp,Vagas,1,2026-02-19,Estratégico
Queiroz Galvão,https://trabalheconosco.vagas.com.br/queirozgalvo,Vagas,1,2026-02-19,Estratégico
RBS,https://trabalheconosco.vagas.com.br/rbs,Vagas,1,2026-02-19,Estratégico
Rapiddo,https://trabalheconosco.vagas.com.br/rapiddo,Vagas,1,2026-02-19,Estratégico
Raízs,https://trabalheconosco.vagas.com.br/razs,Vagas,1,2026-02-19,Estratégico
Real Expresso,https://realexpresso.gupy.io,Gupy,1,2026-02-19,Estratégico
Rebel,https://trabalheconosco.vagas.com.br/rebel,Vagas,1,2026-02-19,Estratégico
Romi,https://trabalheconosco.vagas.com.br/romi,Vagas,1,2026-02-19,Estratégico
Rossi Residencial,https://trabalheconosco.vagas.com.br/rossiresidencial,Vagas,1,2026-02-19,Estratégico
Rumo,https://trabalheconosco.vagas.com.br/rumo,Vagas,1,2026-02-19,Estratégico
Saneago,https://trabalheconosco.vagas.com.br/saneago,Vagas,1,2026-02-19,Estratégico
Sanepar,https://trabalheconosco.vagas.com.br/sanepar,Vagas,1,2026-02-19,Estratégico
Santander Brasil,https://trabalheconosco.vagas.com.br/santanderbrasil,Vagas,1,2026-02-19,Estratégico
Santos Brasil,https://trabalheconosco.vagas.com.br/santosbrasil,Vagas,1,2026-02-19,Estratégico
Savegnago,https://trabalheconosco.vagas.com.br/savegnago,Vagas,1,2026-02-19,Estratégico
Schulz,https://trabalheconosco.vagas.com.br/schulz,Vagas,1,2026-02-19,Estratégico
Ser Educacional,https://trabalheconosco.vagas.com.br/sereducacional,Vagas,1,2026-02-19,Estratégico
Shipp,https://trabalheconosco.vagas.com.br/shipp,Vagas,1,2026-02-19,Estratégico
Simpar,https://simpar.gupy.io,Gupy,1,2026-02-19,Estratégico
Smart Fit,https://trabalheconosco.vagas.com.br/smartfit,Vagas,1,2026-02-19,Estratégico
Smart Kitchens,https://trabalheconosco.vagas.com.br/smartkitchens,Vagas,1,2026-02-19,Estratégico
Sode,https://trabalheconosco.vagas.com.br/sode,Vagas,1,2026-02-19,Estratégico
Sodexo (Pluxee Brasil),https://trabalheconosco.vagas.com.br/sodexo,Vagas,1,2026-02-19,Estratégico
Speedbird Aero,https://trabalheconosco.vagas.com.br/speedbirdaero,Vagas,1,2026-02-19,Estratégico
Superdigital,https://trabalheconosco.vagas.com.br/superdigital,Vagas,1,2026-02-19,Estratégico
Supermercados BH,https://trabalheconosco.vagas.com.br/supermercadosbh,Vagas,1,2026-02-19,Estratégico
Swap,https://trabalheconosco.vagas.com.br/swap,Vagas,1,2026-02-19,Estratégico
Swile Brasil,https://trabalheconosco.vagas.com.br/swilebrasil,Vagas,1,2026-02-19,Estratégico
São Martinho,https://trabalheconosco.vagas.com.br/somartinho,Vagas,1,2026-02-19,Estratégico
TIM Brasil,https://trabalheconosco.vagas.com.br/timbrasil,Vagas,1,2026-02-19,Estratégico
Taesa,https://trabalheconosco.vagas.com.br/taesa,Vagas,1,2026-02-19,Estratégico
Tecnisa,https://tecnisa.gupy.io,Gupy,1,2026-02-19,Estratégico
Tegma,https://tegma.gupy.io,Gupy,1,2026-02-19,Estratégico
Telefônica Brasil (Vivo),https://trabalheconosco.vagas.com.br/telefnicabrasil,Vagas,1,2026-02-19,Estratégico
Terra Santa,https://trabalheconosco.vagas.com.br/terrasanta,Vagas,1,2026-02-19,Estratégico
The New,https://trabalheconosco.vagas.com.br/thenew,Vagas,1,2026-02-19,Estratégico
Ticket (Edenred Brasil),https://trabalheconosco.vagas.com.br/ticket,Vagas,1,2026-02-19,Estratégico
Tigre,https://tigre.gupy.io,Gupy,1,2026-02-19,Estratégico
Track&Field,https://trabalheconosco.vagas.com.br/trackfield,Vagas,1,2026-02-19,Estratégico
Tramontina,https://trabalheconosco.vagas.com.br/tramontina,Vagas,1,2026-02-19,Estratégico
Traz Pra Mim,https://trabalheconosco.vagas.com.br/trazpramim,Vagas,1,2026-02-19,Estratégico
Trigg,https://trabalheconosco.vagas.com.br/trigg,Vagas,1,2026-02-19,Estratégico
Trisul,https://trabalheconosco.vagas.com.br/trisul,Vagas,1,2026-02-19,Estratégico
Triunfo Participações,https://trabalheconosco.vagas.com.br/triunfoparticipaes,Vagas,1,2026-02-19,Estratégico
TruckPad,https://truckpad.gupy.io,Gupy,1,2026-02-19,Estratégico
Uello,https://uello.gupy.io,Gupy,1,2026-02-19,Estratégico
Ultrapar,https://trabalheconosco.vagas.com.br/ultrapar,Vagas,1,2026-02-19,Estratégico
Unifique,https://trabalheconosco.vagas.com.br/unifique,Vagas,1,2026-02-19,Estratégico
Unimed (Sistema Nacional),https://trabalheconosco.vagas.com.br/unimed,Vagas,1,2026-02-19,Estratégico
Unipar Carbocloro,https://trabalheconosco.vagas.com.br/uniparcarbocloro,Vagas,1,2026-02-19,Estratégico
União Química,https://trabalheconosco.vagas.com.br/unioqumica,Vagas,1,2026-02-19,Estratégico
VLI Logística,https://trabalheconosco.vagas.com.br/vlilogstica,Vagas,1,2026-02-19,Estratégico
VR Benefícios,https://trabalheconosco.vagas.com.br/vrbenefcios,Vagas,1,2026-02-19,Estratégico
Vamos,https://vamos.gupy.io,Gupy,1,2026-02-19,Estratégico
Vasta Educação,https://trabalheconosco.vagas.com.br/vastaeducao,Vagas,1,2026-02-19,Estratégico
Verde Campo,https://trabalheconosco.vagas.com.br/verdecampo,Vagas,1,2026-02-19,Estratégico
Vitru,https://trabalheconosco.vagas.com.br/vitru,Vagas,1,2026-02-19,Estratégico
Vivara,https://vivara.gupy.io,Gupy,1,2026-02-19,Estratégico
Viver,https://trabalheconosco.vagas.com.br/viver,Vagas,1,2026-02-19,Estratégico
Votorantim S.A.,https://trabalheconosco.vagas.com.br/votorantimsa,Vagas,1,2026-02-19,Estratégico
Warren,https://trabalheconosco.vagas.com.br/warren,Vagas,1,2026-02-19,Estratégico
Westwing,https://trabalheconosco.vagas.com.br/westwing,Vagas,1,2026-02-19,Estratégico
Wiz Soluções,https://trabalheconosco.vagas.com.br/wizsolues,Vagas,1,2026-02-19,Estratégico
XP Banco,https://trabalheconosco.vagas.com.br/xpbanco,Vagas,1,2026-02-19,Estratégico
Yorgus,https://trabalheconosco.vagas.com.br/yorgus,Vagas,1,2026-02-19,Estratégico
Órama Investimentos,https://trabalheconosco.vagas.com.br/ramainvestimentos,Vagas,1,2026-02-19,Estratégico
